biden,date,moe,poll,sample,spread,trump
51.3,10/21 - 10/29,--,RCP Average,--,Biden +7.8,43.5
49,10/25 - 10/28,2.0,The Hill/HarrisX,2359 LV,Biden +4,45
51,10/25 - 10/29,3.2,IBD/TIPP,959 LV,Biden +7,44
49,10/27 - 10/29,2.5,Rasmussen Reports,1500 LV,Biden +3,46
54,10/25 - 10/27,3.2,Economist/YouGov,1365 LV,Biden +11,43
50,10/25 - 10/26,2.8,Emerson,1121 LV,Biden +5,45
52,10/23 - 10/27,3.1,USA Today/Suffolk,1000 LV,Biden +8,44
52,10/23 - 10/27,3.9,Reuters/Ipsos,825 LV,Biden +10,42
54,10/23 - 10/26,3.8,CNN,886 LV,Biden +12,42
51,10/23 - 10/24,2.8,JTN/RMG Research*,1842 LV,Biden +7,44
51,10/21 - 10/24,3.5,CNBC,800 RV,Biden +11,40
54,10/16 - 10/29,--,USC Dornsife,5330 LV,Biden +12,42
52,10/18 - 10/20,3.2,Economist/YouGov,1344 LV,Biden +9,43
51,10/16 - 10/20,3.6,Reuters/Ipsos,949 LV,Biden +9,42
51,10/16 - 10/19,2.6,Quinnipiac,1426 LV,Biden +10,41
49,10/14 - 10/20,2.0,Rasmussen Reports,2500 LV,Biden +3,46
52,10/17 - 10/18,1.9,CNBC/Change Research (D)*,2711 LV,Biden +10,42
53,10/16 - 10/19,3.6,SurveyUSA,1136 LV,Biden +10,43
50,10/15 - 10/18,3.4,NY Times/Siena*,987 LV,Biden +9,41
51,10/15 - 10/17,2.8,JTN/RMG Research*,1265 LV,Biden +8,43
46,10/13 - 10/15,2.3,The Hill/HarrisX,1897 RV,Biden +4,42
52,10/11 - 10/13,4.3,Economist/YouGov,1333 LV,Biden +10,42
47,10/10 - 10/13,1.8,The Hill/HarrisX,2855 RV,Biden +7,40
51,10/9 - 10/13,3.8,Reuters/Ipsos,882 LV,Biden +10,41
53,10/9 - 10/12,3.1,NBC News/Wall St. Jrnl,1000 RV,Biden +11,42
54,10/8 - 10/13,3.9,NPR/PBS/Marist,819 LV,Biden +11,43
50,10/7 - 10/13,2.0,Rasmussen Reports,2500 LV,Biden +5,45
51,10/8 - 10/10,2.8,JTN/RMG Research*,1240 LV,Biden +8,43
55,10/6 - 10/9,4.0,ABC News/Wash Post,725 LV,Biden +12,43
51,10/4 - 10/6,4.8,Economist/YouGov,1364 LV,Biden +9,42
45,10/3 - 10/6,1.8,The Hill/HarrisX,2841 RV,Biden +5,40
53,10/3 - 10/6,3.0,FOX News,1012 LV,Biden +10,43
52,10/2 - 10/6,3.8,Reuters/Ipsos,882 LV,Biden +12,40
52,10/2 - 10/4,2.1,CNBC/Change Research (D)*,2167 LV,Biden +10,42
52,9/30 - 10/6,2.0,Rasmussen Reports,2500 LV,Biden +12,40
53,10/1 - 10/4,3.6,SurveyUSA,1114 LV,Biden +10,43
57,10/1 - 10/4,3.6,CNN,1001 LV,Biden +16,41
51,10/1 - 10/3,3.5,JTN/RMG Research*,763 LV,Biden +8,43
47,9/30 - 10/1,3.2,The Hill/HarrisX,928 RV,Biden +7,40
53,9/30 - 10/1,3.5,NBC News/Wall St. Jrnl,800 RV,Biden +14,39
49,9/30 - 10/1,3.5,IBD/TIPP,1030 LV,Biden +3,46
54,9/29 - 9/30,3.2,CNBC/Change Research (D),925 LV,Biden +13,41
50,9/27 - 9/30,4.0,Economist/YouGov,1350 LV,Biden +8,42
51,9/25 - 9/29,3.8,Reuters/Ipsos,864 LV,Biden +9,42
51,9/23 - 9/29,2.0,Rasmussen Reports,3000 LV,Biden +8,43
50,9/24 - 9/27,3.5,Monmouth*,809 LV,Biden +5,45
51,9/24 - 9/26,3.6,JTN/RMG Research*,752 LV,Biden +6,45
45,9/22 - 9/25,1.9,The Hill/HarrisX,2768 RV,Biden +5,40
49,9/22 - 9/24,3.5,NY Times/Siena,950 LV,Biden +8,41
